Date,Longitude [degrees_east],Latitude [degrees_north],Temperature [degC]
1992-02-22,-6.1077,52.8,7.6
1992-02-22,-6.125,52.7978,7.6
1992-02-22,-6.135,52.7945,7.6
1993-06-06,-5.45,53.6833,12.57
1993-07-06,-6.1355,52.0162,10.82
1993-07-06,-6.8925,51.9977,13.45
1993-08-06,-6.9865,52.2712,13.46
2007-02-21,-9.3748,51.4838,8.4
2007-02-21,-9.3748,51.4838,8.69
2007-06-26,-9.3748,51.4838,14.94
2007-06-26,-9.3748,51.4838,14.67
2007-08-14,-9.3748,51.4838,14.43
2007-08-14,-9.3748,51.4838,14.69
2007-09-18,-9.3748,51.4838,15.13
2007-09-18,-9.3748,51.4838,15.24
2007-02-21,-9.4075,51.4975,8.67
2007-06-26,-9.4075,51.4975,14.71
2007-06-26,-9.4075,51.4975,14.44
2007-08-14,-9.4075,51.4975,14.34
2007-08-14,-9.4075,51.4975,15.05
2007-09-18,-9.4075,51.4975,15.07
2007-09-18,-9.4075,51.4975,15.2
2007-02-21,-9.3527,51.5065,8.59
2007-02-21,-9.3775,51.5108,8.72
2007-06-26,-9.3775,51.5108,15.73
2007-06-26,-9.3775,51.5108,14.69
2007-08-14,-9.3775,51.5108,14.86
2007-08-14,-9.3775,51.5108,14.82
2007-09-18,-9.3775,51.5108,15.22
2007-09-18,-9.3775,51.5108,15.39
2007-02-21,-9.3422,51.5203,8.12
2007-02-21,-9.3422,51.5203,9.3
2007-02-21,-9.3682,51.5275,8.1
2007-06-26,-9.3682,51.5275,16.08
2007-06-26,-9.3682,51.5275,15.39
2007-08-14,-9.3682,51.5275,15.49
2007-08-14,-9.3682,51.5275,16.02
2007-09-18,-9.3682,51.5275,14.87
2007-09-18,-9.3682,51.5275,15.46
2007-02-21,-9.2982,51.5495,7.29
2007-02-21,-9.2982,51.5495,7.82
2007-06-26,-9.2982,51.5495,15.31
2007-06-26,-9.2982,51.5495,16.64
2007-08-14,-9.2982,51.5495,15.04
2007-08-14,-9.2982,51.5495,15.25
2007-09-18,-9.2982,51.5495,14.4
2007-09-18,-9.2982,51.5495,14.65
2007-02-21,-9.3192,51.535,7.56
2007-02-21,-9.3192,51.535,8.02
2007-06-26,-9.3192,51.535,15.7
2007-06-26,-9.3192,51.535,16.69
2007-08-14,-9.3192,51.535,15.85
2007-08-14,-9.3192,51.535,15.58
2007-09-18,-9.3192,51.535,15.07
2007-09-18,-9.3192,51.535,16.0
2007-02-21,-9.2857,51.552,7.06
2007-02-21,-9.2857,51.552,7.59
2007-08-14,-9.2857,51.552,14.71
2007-08-14,-9.2857,51.552,16.84
2007-09-18,-9.2857,51.552,14.1
2007-09-18,-9.2857,51.552,15.3
2007-02-22,-8.768,51.633,9.61
2007-06-25,-8.768,51.633,13.3
2007-08-13,-8.768,51.633,14.11
2007-09-17,-8.768,51.633,12.87
2007-02-22,-8.6938,51.6458,9.05
2007-02-22,-8.6963,51.6357,9.09
2007-02-22,-8.6963,51.6357,10.16
2007-06-25,-8.6963,51.6357,16.34
2007-06-25,-8.6963,51.6357,15.62
2007-08-13,-8.6963,51.6357,14.97
2007-08-13,-8.6963,51.6357,16.69
2007-09-17,-8.6963,51.6357,14.97
2007-02-22,-8.7163,51.6397,8.8
2007-02-22,-8.7102,51.6355,8.94
2007-02-22,-8.7163,51.6397,9.94
2007-02-22,-8.7102,51.6355,9.91
2007-06-25,-8.7163,51.6397,15.66
2007-06-25,-8.7102,51.6355,15.62
2007-06-25,-8.7102,51.6355,15.91
2007-06-25,-8.7163,51.6397,15.55
2007-08-13,-8.7163,51.6397,15.09
2007-08-13,-8.7102,51.6355,15.11
2007-08-13,-8.7163,51.6397,16.51
2007-08-13,-8.7102,51.6355,16.06
2007-09-17,-8.7163,51.6397,15.1
2007-09-17,-8.7102,51.6355,14.74
2007-09-17,-8.7163,51.6397,15.14
2007-09-17,-8.7102,51.6355,15.83
2007-02-22,-8.7368,51.6382,9.25
2007-06-25,-8.7368,51.6382,15.89
2007-08-13,-8.7368,51.6382,14.9
2007-09-17,-8.7368,51.6382,15.32
2007-02-22,-8.7628,51.6445,8.8
2007-02-22,-8.7627,51.6417,8.79
2007-02-22,-8.7518,51.6453,9.01
2007-02-22,-8.7518,51.6453,10.53
2007-02-22,-8.7628,51.6445,9.64
2007-02-22,-8.7627,51.6417,10.79
2007-06-25,-8.7627,51.6417,15.03
2007-06-25,-8.7628,51.6445,14.48
2007-06-25,-8.7518,51.6453,16.44
2007-06-25,-8.7627,51.6417,16.44
2007-06-25,-8.7628,51.6445,15.95
2007-08-13,-8.7628,51.6445,14.32
2007-08-13,-8.7627,51.6417,14.52
2007-08-13,-8.7518,51.6453,14.83
2007-08-13,-8.7628,51.6445,15.4
2007-08-13,-8.7518,51.6453,16.17
2007-08-13,-8.7627,51.6417,16.62
2007-09-17,-8.7628,51.6445,14.9
2007-09-17,-8.7627,51.6417,15.28
2007-09-17,-8.7518,51.6453,15.39
2007-09-17,-8.7628,51.6445,15.58
2007-09-17,-8.7627,51.6417,16.3
2007-12-07,-8.5113,51.6665,13.13
2007-08-22,-8.5113,51.6665,14.55
2007-01-03,-8.5082,51.6737,9.33
2007-12-07,-8.5082,51.6737,13.41
2007-08-22,-8.5082,51.6737,14.74
2007-01-03,-8.5012,51.6913,9.45
2007-06-14,-8.5012,51.6913,16.49
2007-08-22,-8.5012,51.6913,14.44
2007-01-03,-8.5322,51.6928,8.87
2007-12-07,-8.5322,51.6928,15.57
2007-08-22,-8.5322,51.6928,14.46
2007-01-03,-8.5803,51.6955,8.85
2007-06-14,-8.5803,51.6955,17.99
2007-12-07,-8.5803,51.6955,16.07
2007-08-22,-8.5803,51.6955,14.8
2007-01-03,-8.5142,51.7023,9.06
2007-06-14,-8.5142,51.7023,17.32
2007-12-07,-8.5142,51.7023,13.96
2007-08-22,-8.5142,51.7023,15.66
2007-01-03,-8.5518,51.7017,8.79
2007-06-14,-8.5518,51.7017,17.08
2007-12-07,-8.5518,51.7017,15.25
2007-08-22,-8.5518,51.7017,14.45
2007-01-03,-8.6008,51.7068,8.51
2007-06-14,-8.6008,51.7068,18.54
2007-12-07,-8.6008,51.7068,17.29
2007-08-22,-8.6008,51.7068,14.89
2007-01-03,-8.6128,51.723,8.09
2007-06-14,-8.6128,51.723,18.68
2007-12-07,-8.6128,51.723,16.92
2007-08-22,-8.6128,51.723,15.17
2007-01-03,-8.6297,51.729,8.04
2007-06-14,-8.6297,51.729,18.74
2007-12-07,-8.6297,51.729,17.83
2007-08-22,-8.6297,51.729,15.46
2007-01-03,-8.632,51.7458,8.18
2007-06-14,-8.632,51.7458,18.55
2007-12-07,-8.632,51.7458,17.96
2007-08-22,-8.632,51.7458,15.46
2007-01-03,-8.6345,51.7372,8.08
2007-06-14,-8.6345,51.7372,18.71
2007-12-07,-8.6345,51.7372,17.88
2007-08-22,-8.6345,51.7372,15.42
2007-06-14,-8.64,51.753,18.59
2007-12-07,-8.64,51.753,17.73
2007-08-22,-8.64,51.753,15.52
2007-02-20,-9.7805,51.7628,7.91
2007-02-20,-9.7805,51.7628,8.02
2007-06-27,-9.7805,51.7628,14.98
2007-06-27,-9.7805,51.7628,15.82
2007-08-15,-9.7805,51.7628,16.35
2007-09-19,-9.7805,51.7628,15.7
2007-09-19,-9.7805,51.7628,15.6
2007-02-20,-9.8177,51.7645,8.69
2007-02-20,-9.8177,51.7645,9.44
2007-06-27,-9.8177,51.7645,15.18
2007-06-27,-9.8177,51.7645,15.28
2007-08-15,-9.8177,51.7645,16.97
2007-02-20,-9.8073,51.7792,8.98
2007-02-20,-9.8073,51.7792,9.16
2007-06-27,-9.8073,51.7792,15.21
2007-06-27,-9.8073,51.7792,15.76
2007-08-15,-9.8073,51.7792,16.43
2007-09-19,-9.8073,51.7792,15.4
2007-06-27,-9.838,51.7692,14.78
2007-11-06,-8.2652,51.7898,16.12
2007-09-07,-8.2652,51.7898,12.31
2007-08-20,-8.2652,51.7898,13.92
2007-11-06,-8.269,51.8105,16.34
2007-09-07,-8.269,51.8105,12.04
2007-08-20,-8.269,51.8105,14.25
2007-09-07,-8.2422,51.8405,12.71
2007-08-20,-8.2422,51.8405,14.01
2007-11-06,-8.2633,51.8367,16.53
2007-02-28,-8.3127,51.8378,8.93
2007-11-06,-8.3127,51.8378,17.98
2007-11-06,-8.3127,51.8378,17.49
2007-09-07,-8.3127,51.8378,14.03
2007-09-07,-8.3127,51.8378,13.57
2007-08-20,-8.3127,51.8378,14.61
2007-08-20,-8.3127,51.8378,15.39
2007-02-20,-9.6513,51.8448,8.53
2007-02-20,-9.6513,51.8448,9.07
2007-02-20,-9.6513,51.8448,8.89
2007-08-15,-9.6513,51.8448,16.03
2007-08-15,-9.6513,51.8448,16.9
2007-09-19,-9.6513,51.8448,15.54
2007-09-19,-9.6513,51.8448,15.71
2007-06-27,-9.634,51.8588,14.54
2007-12-06,-8.1895,51.8827,17.96
2007-10-07,-8.1895,51.8827,14.78
2007-08-21,-8.1895,51.8827,15.03
2007-02-27,-8.204,51.8817,9.27
2007-02-27,-8.204,51.8692,9.4
2007-12-06,-8.204,51.8817,17.87
2007-12-06,-8.204,51.8692,17.66
2007-10-07,-8.204,51.8817,14.22
2007-10-07,-8.204,51.8692,14.39
2007-08-21,-8.204,51.8817,15.07
2007-08-21,-8.204,51.8692,14.81
2007-12-06,-8.2243,51.8817,17.89
2007-10-07,-8.2243,51.8817,14.49
2007-08-21,-8.2243,51.8817,14.98
2007-02-27,-8.2432,51.8798,9.25
2007-12-06,-8.2432,51.8798,18.58
2007-10-07,-8.2432,51.8798,14.91
2007-08-21,-8.2432,51.8798,15.09
2007-02-28,-8.3362,51.8778,8.78
2007-11-06,-8.3362,51.8778,19.12
2007-11-06,-8.3362,51.8778,18.39
2007-09-07,-8.3362,51.8778,14.54
2007-09-07,-8.3362,51.8778,15.1
2007-08-20,-8.3362,51.8778,15.06
2007-08-20,-8.3362,51.8778,15.8
2007-02-20,-9.5623,51.873,6.76
2007-08-15,-9.5623,51.873,14.56
2007-09-19,-9.5623,51.873,14.5
2007-02-20,-9.5815,51.8707,7.61
2007-02-20,-9.5815,51.8707,7.75
2007-06-27,-9.5713,51.8747,15.15
2007-06-27,-9.5815,51.8707,14.97
2007-06-27,-9.5713,51.8747,15.87
2007-06-27,-9.5815,51.8707,15.7
2007-08-15,-9.5815,51.8707,15.84
2007-08-15,-9.5815,51.8707,13.44
2007-09-19,-9.5713,51.8747,15.4
2007-09-19,-9.5815,51.8707,15.54
2007-09-19,-9.5713,51.8747,15.46
2007-09-19,-9.5815,51.8707,15.49
2007-02-20,-9.5888,51.8727,7.86
2007-02-20,-9.5888,51.8727,9.1
2007-06-27,-9.5888,51.8727,14.99
2007-06-27,-9.5888,51.8727,15.52
2007-08-15,-9.5888,51.8727,15.73
2007-08-15,-9.5888,51.8727,17.69
2007-09-19,-9.5888,51.8727,15.57
2007-06-27,-9.6058,51.8698,15.05
2007-06-27,-9.6058,51.8698,15.69
2007-09-19,-9.6058,51.8698,15.65
2007-09-19,-9.6058,51.8698,15.7
2007-12-06,-8.1713,51.8983,18.9
2007-12-06,-8.1823,51.8952,19.34
2007-10-07,-8.1713,51.8983,15.07
2007-10-07,-8.1823,51.8952,15.72
2007-08-21,-8.1823,51.8952,15.04
2007-08-21,-8.1713,51.8983,13.4
2007-02-27,-8.2708,51.8852,9.29
2007-12-06,-8.2708,51.8852,19.44
2007-10-07,-8.2708,51.8852,14.95
2007-08-21,-8.2708,51.8852,15.4
2007-02-28,-8.3565,51.8867,8.62
2007-11-06,-8.3565,51.8867,19.03
2007-11-06,-8.3565,51.8867,19.0
2007-09-07,-8.3565,51.8867,14.6
2007-08-20,-8.3565,51.8867,15.3
2007-08-20,-8.3565,51.8867,16.5
2007-02-28,-8.39,51.8983,8.51
2007-11-06,-8.39,51.8983,18.86
2007-11-06,-8.39,51.8983,19.49
2007-09-07,-8.39,51.8983,15.2
2007-09-07,-8.39,51.8983,15.63
2007-08-20,-8.39,51.8983,15.21
2007-02-28,-8.459,51.8995,8.05
2007-02-28,-8.459,51.8995,8.41
2007-11-06,-8.459,51.8995,17.83
2007-11-06,-8.459,51.8995,18.71
2007-09-07,-8.459,51.8995,15.19
2007-09-07,-8.459,51.8995,15.44
2007-08-20,-8.459,51.8995,15.92
2007-08-20,-8.459,51.8995,16.41
2007-12-06,-8.4692,51.8953,16.6
2007-12-06,-8.4692,51.8953,17.1
2007-10-07,-8.4692,51.8953,14.7
2007-10-07,-8.4692,51.8953,15.3
2007-08-21,-8.4692,51.8953,15.4
2007-08-21,-8.4692,51.8953,15.1
2007-12-06,-8.4997,51.8965,17.0
2007-12-06,-8.4947,51.8933,16.4
2007-08-21,-8.4947,51.8933,15.3
2007-08-21,-8.4997,51.8965,15.6
2007-12-06,-8.5062,51.892,14.9
2007-12-06,-8.5107,51.8947,16.3
2007-08-21,-8.5062,51.892,13.3
2007-08-21,-8.5107,51.8947,15.1
2007-12-06,-8.1773,51.906,18.36
2007-10-07,-8.1773,51.906,14.22
2007-08-21,-8.1773,51.906,12.7
2007-12-06,-8.3175,51.9048,18.4
2007-10-07,-8.3175,51.9048,13.8
2007-10-07,-8.3175,51.9048,15.0
2007-08-21,-8.3175,51.9048,15.0
2007-12-06,-8.3963,51.9068,17.5
2007-12-06,-8.3963,51.9068,18.4
2007-10-07,-8.3963,51.9068,12.9
2007-10-07,-8.3963,51.9068,15.7
2007-08-21,-8.3963,51.9068,13.1
2007-08-21,-8.3963,51.9068,15.1
2007-02-28,-8.4025,51.9013,8.48
2007-02-28,-8.4025,51.9013,8.75
2007-11-06,-8.4025,51.9013,19.07
2007-11-06,-8.4025,51.9013,19.16
2007-09-07,-8.4025,51.9013,15.28
2007-09-07,-8.4025,51.9013,16.0
2007-08-20,-8.4025,51.9013,15.75
2007-08-20,-8.4025,51.9013,16.57
2007-02-28,-8.4235,51.9005,8.27
2007-02-28,-8.4235,51.9005,8.57
2007-11-06,-8.4235,51.9005,18.29
2007-11-06,-8.4235,51.9005,19.24
2007-09-07,-8.4235,51.9005,15.31
2007-09-07,-8.4235,51.9005,16.13
2007-08-20,-8.4235,51.9005,15.78
2007-02-28,-8.4463,51.902,8.16
2007-11-06,-8.4463,51.902,17.94
2007-11-06,-8.4463,51.902,18.86
2007-09-07,-8.4463,51.902,15.21
2007-09-07,-8.4463,51.902,15.48
2007-08-20,-8.4463,51.902,16.54
2007-08-20,-8.4463,51.902,18.06
2007-12-06,-8.4663,51.9002,16.6
2007-12-06,-8.4663,51.9002,17.2
2007-10-07,-8.4663,51.9002,15.0
2007-10-07,-8.4663,51.9002,15.5
2007-08-21,-8.4663,51.9002,15.5
2007-08-21,-8.4663,51.9002,15.6
2007-12-06,-8.395,51.926,13.7
2007-10-07,-8.396,51.919,12.1
2007-08-21,-8.396,51.919,12.8
2007-02-26,-7.8417,51.9482,9.28
2007-06-13,-7.8417,51.9482,16.11
2007-11-07,-7.8417,51.9482,11.87
2007-08-23,-7.8417,51.9482,14.85
2007-02-26,-7.8465,51.9662,9.02
2007-02-26,-7.8465,51.9662,9.04
2007-06-13,-7.8465,51.9662,17.02
2007-11-07,-7.8465,51.9662,12.13
2007-08-23,-7.8465,51.9662,15.26
2007-02-26,-7.865,51.9837,8.99
2007-02-26,-7.865,51.9837,8.83
2007-06-13,-7.865,51.9837,18.73
2007-11-07,-7.865,51.9837,13.32
2007-08-23,-7.865,51.9837,15.13
2007-02-26,-7.8823,51.9958,8.55
2007-06-13,-7.8823,51.9958,19.19
2007-11-07,-7.8823,51.9958,16.69
2007-08-23,-7.8823,51.9958,15.36
2007-08-23,-7.8823,51.9958,16.1
2007-02-26,-7.8553,52.0135,8.61
2007-02-26,-7.8553,52.0135,8.55
2007-06-13,-7.8553,52.0135,19.57
2007-11-07,-7.8553,52.0135,15.01
2007-02-26,-7.8527,52.0307,8.45
2007-06-13,-7.8527,52.0307,19.62
2007-11-07,-7.8527,52.0307,14.9
2007-08-23,-7.8527,52.0307,15.42
2007-08-23,-7.8527,52.0307,15.94
2007-02-26,-7.8492,52.0488,8.38
2007-06-13,-7.8492,52.0488,19.34
2007-11-07,-7.8492,52.0488,14.83
2007-02-26,-7.8723,52.0652,8.32
2007-02-26,-7.8723,52.0652,8.38
2007-06-13,-7.8723,52.0652,18.93
2007-11-07,-7.8723,52.0652,14.55
2007-08-23,-7.8723,52.0652,15.42
2007-08-23,-7.8723,52.0652,16.38
2007-02-26,-7.8833,52.0827,8.46
2007-02-26,-7.8833,52.0827,8.53
2007-06-13,-7.8833,52.0827,18.8
2007-06-13,-7.8833,52.0827,18.7
2007-08-23,-7.8833,52.0827,15.2
2007-08-23,-7.8833,52.0827,16.0
2007-02-19,-9.9415,52.0742,10.15
2007-09-20,-9.9415,52.0742,15.18
2007-09-20,-9.9415,52.0742,15.24
2007-06-28,-9.9628,52.0697,15.1
2007-08-16,-9.9628,52.0697,15.93
2007-02-26,-7.8623,52.0873,8.15
2007-06-13,-7.8623,52.0873,18.52
2007-11-07,-7.8623,52.0873,14.52
2007-08-23,-7.8623,52.0873,15.64
2007-08-23,-7.8623,52.0873,16.45
2007-02-19,-9.9217,52.0985,9.57
2007-02-19,-9.9217,52.0985,9.2
2007-06-28,-9.9217,52.0985,15.08
2007-08-16,-9.9217,52.0985,15.52
2007-09-20,-9.9217,52.0985,15.13
2007-09-20,-9.9217,52.0985,15.3
2007-02-26,-7.8668,52.1095,8.15
2007-02-26,-7.8668,52.1095,8.42
